,feature,rank
0,FlowID,1.0
1,SourceIP,1.0
2,SourcePort,1.0
3,DestinationIP,1.0
4,DestinationPort,1.0
5,Protocol,1.0
6,FlowDuration,1.0
7,TotalFwdPackets,1.0
8,TotalBackwardPackets,1.0
9,TotalLengthofFwdPackets,1.0
10,TotalLengthofBwdPackets,1.0
11,FwdPacketLengthMax,1.0
12,FwdPacketLengthMin,1.0
13,FwdPacketLengthMean,1.0
14,FwdPacketLengthStd,1.0
15,BwdPacketLengthMax,1.0
16,BwdPacketLengthMin,1.0
17,BwdPacketLengthMean,1.0
18,BwdPacketLengthStd,0.1
19,FlowBytes/s,1.0
20,FlowPackets/s,1.0
21,FlowIATMean,1.0
22,FlowIATStd,1.0
23,FlowIATMax,1.0
24,FlowIATMin,0.4
25,FwdIATTotal,1.0
26,FwdIATMean,1.0
27,FwdIATStd,1.0
28,FwdIATMax,1.0
29,FwdIATMin,1.0
30,BwdIATTotal,1.0
31,BwdIATMean,1.0
32,BwdIATStd,0.4
33,BwdIATMax,1.0
34,BwdIATMin,1.0
35,FwdPSHFlags,0.1
36,BwdPSHFlags,0.0
37,FwdURGFlags,0.0
38,BwdURGFlags,0.0
39,FwdHeaderLength,1.0
40,BwdHeaderLength,1.0
41,FwdPackets/s,1.0
42,BwdPackets/s,1.0
43,MinPacketLength,1.0
44,MaxPacketLength,1.0
45,PacketLengthMean,1.0
46,PacketLengthStd,1.0
47,PacketLengthVariance,1.0
48,FINFlagCount,0.0
49,SYNFlagCount,0.0
50,RSTFlagCount,0.0
51,PSHFlagCount,0.0
52,ACKFlagCount,0.1
53,URGFlagCount,1.0
54,CWEFlagCount,0.0
55,ECEFlagCount,0.0
56,Down/UpRatio,1.0
57,AveragePacketSize,1.0
58,AvgFwdSegmentSize,1.0
59,AvgBwdSegmentSize,1.0
60,FwdHeaderLength.1,1.0
61,FwdAvgBytes/Bulk,0.0
62,FwdAvgPackets/Bulk,0.0
63,FwdAvgBulkRate,0.0
64,BwdAvgBytes/Bulk,0.0
65,BwdAvgPackets/Bulk,0.0
66,BwdAvgBulkRate,0.0
67,SubflowFwdPackets,1.0
68,SubflowFwdBytes,1.0
69,SubflowBwdPackets,1.0
70,SubflowBwdBytes,1.0
71,Init_Win_bytes_forward,1.0
72,Init_Win_bytes_backward,1.0
73,act_data_pkt_fwd,1.0
74,min_seg_size_forward,0.0
75,ActiveMean,0.0
76,ActiveStd,0.0
77,ActiveMax,0.0
78,ActiveMin,0.0
79,IdleMean,0.0
80,IdleStd,0.0
81,IdleMax,0.0
82,IdleMin,0.0
83,SimillarHTTP,0.0
84,Inbound,1.0
85,Label,0.0
